number,title,medium,contact_info,legal_info,private,creation_date,size,series,description,percent_for_art,displayed
,"Right Side / Left Side Series 1-4 (brown and red and yellow piece)","mixed media","did not find",,"missing",,,"Right Side / Left Side Series",,TRUE,TRUE
64,"Forsaken","charcoal on paper","third floor, in central study area",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
65,"Dog's Feast","charcoal on paper","third floor, in central study area",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
66,"Hounding","charcoal on paper","third floor, in central study area",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"George Peavy Portrait","oil","first floor, Dean's hallway",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"Untitled","etching","first floor, Joyce Goudy Powell Leadership Center, Talisman Room",,"Public",,,,,FALSE,FALSE
,"Untitled","oil","third floor, room 319 (locked conference room)",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"Bathtub, La Sala, I Don't Understand","watercolor","sixth floor, west side, in vice provost's office",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",2000,,,,FALSE,FALSE
7,"A.M. Transport","oil on canvas","first floor, near current journals, east staircase",,"Public",1993,,"part of The Valley Library's Northwest Art Collection","The artist statement on this piece says that Buckner is “inspired by Northwest settings” and that her blending of memory and invention explores “reflective and environmental messages.”",TRUE,FALSE
78,"Equinox","oil on canvas","fourth floor, near west staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Birch Bark","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece",,,,,FALSE,TRUE
,"Beech Stand","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
,"Big Leaf Maple","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
,"Cascara","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
,"Vine Maple","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
,"Horse Trails","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
,"Untitled","wood laminate","second floor, knuckle","From plaque that accompanies the piece: ""This wooden mural depicting a Portland landscape was generously donated to the College of Forestry by Edward and Elaine Hayden Moshofsky (B.S. Education, 1947), co-owners of Fort Hill Lumber Company of Grand Ronde, Oregon and Whipple and Moshofsky Lumber Company of Portland, Oregon.""","Public",,,,,FALSE,FALSE
27,"Stop, Look, Listen","oil on canvas","second floor, near Autzen Classroom, east staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Descent","acrylic and collage on wood panel","first floor",,"Public",2009,,,,FALSE,FALSE
,"Tableau","acrylic and collage on wood panel","first floor",,"Public",2009,,,,FALSE,FALSE
,"The Curry Diaries","mixed media painting","sixth floor, west side",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",2001,,"Provost's Purchase Award",,FALSE,FALSE
,"Untitled","bronze sculpture","second floor, Dean's Office suite (room 207)","Recipient of College of Liberal Arts Dean's Purchase Award 2011","Please ask at the front desk to view this piece.",2011,,"College of Liberal Arts Dean's Purchase Award",,FALSE,FALSE
,"Bites and Pieces",,"did not find","Quote from Oregon Arts Commission on the piece: ""A geometric pattern resembling circuitry.""","Public",,,,,TRUE,TRUE
,"Safety Net","clay","first floor, Joyce Goudy Powell Leadership Center, lobby",,"Public",,,,,FALSE,FALSE
,"Starry Night","clay","first floor, Joyce Goudy Powell Leadership Center, Talisman Room",,"Public",,,,,FALSE,FALSE
6,"Field Burn II","oil on canvas","first floor, central, near reshelving and across from computer station",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"StainLines(Red)","acrylic, stains, and spray paint on wood panel","third floor",,"Public",2009,,,,FALSE,FALSE
,"At Home","print","second floor, near room 2091","Quote from Oregon Arts Commission on the piece: ""This brightly colored print utilizes a mainly primary color palette to depict a domed dwelling. A triangle border surrounds the piece."" ","Public",,,,"On this piece, Chew has said, ""*AT HOME* is one of the illustrations I did for a short tale I wrote for my daughter called Professor Bug Tells You How to Build Your House. It is about three sheep who get overly heated in the summer and thoroughly drenched in the winter because they don't have a house. Finally a bug takes pitty on them and shows them step by step how to build a house out of just about anything. This picture shows the sheep quite content with their new home.""",TRUE,FALSE
,"All Roads Lead to...","print","second floor, near room 238","Quote from Oregon Arts Commission on the piece: ""This print presents a mutlicolored, geometric pattern sandwiched in between a dark purple section bearing a yellow moon cyle on the top and a lighter purple section of the bottom that has diagonal, dark purple and white lines."" ","Public",,,,"On this piece, Chew has said, *ALL ROADS LEAD TO...* was an image I first used in a dance performance with Louise Durkee (dancer/choreographer) and Trimpin (musician/composer). I had the task of designing sets using computer graphics I had created. To do this I cut huge white sheets of plastic into the various elements of the design and hung them from the ceiling. Then I projected a slide of the computer graphic onto the hanging shapes in the darkened theater. The effect was a three dimensional version of this image. A year later when I was planning this series of prints to sponsor my trip to Nepal I asked people which of my images they would like to see as a print. *All Roads Lead Too..* was the hands down favorite.""",TRUE,FALSE
,"Artozoic Scene","print","second floor, near room 238","Quote from Oregon Arts Commission on the piece: ""This bright and chaotic piece presents multicolored, squiggly lines amongst black sections on a mostly blue background. Depictions of at least three scissors and three painters' palettes emerge from the composition. "" ","Public",,,,"On this piece, Chew has said, ""*ARTOZOIC SCENE* takes place on Stamp World about two hundred million years before the postage stamp became the highest lifeform. It might be compared to the mezozoic here on Earth. The creatures were colorful and varied, ranging from slow, perhaps dimwitted, palettes to the voracious cutting beasts.""",TRUE,FALSE
,"Fig. 3","print","second floor, near room 242","Quote from Oregon Arts Commission on the piece: ""This piece appears to allude to the children's game, ""Operation."" A human skeleton is presented in pink over the top of a pinkish landscape scene, and various icons representing non-human entities are connected to areas of the skeleton. ""","Public",,,,"On this piece, Chew has said, ""*FIG. 34* is a self portrait. The Stamps on Stamp World were extremely interested to see what humans looked inside.""",TRUE,FALSE
,"Stamp Bird","print","second floor, near room 248","Quote from Oregon Arts Commission on the piece: ""Multicolored lines populate the bottom of this print that presents what appears to be the profile of a yellow bird's head on a blue background. The bird's beak is slightly open and a red arrow and a blue arrow point away from it, toward the left.""","Public",,,,"On this piece, Chew has said, ""*STAMP BIRD* is one of the creatures I photographed while visiting Stamp World. This design also appears in a rug by the same name.""",TRUE,FALSE
,"Stamp World Life Cycle","print","second floor, near room 244","Quote from Oregon Arts Commission on the piece: ""This piece appears to mimic the framing of a postal stamp, and it states at the bottom of the piece, ""Stamp World Chart."" Six different icons are presented in a circle connected by arrows.""","Public",,,,"On this piece, Chew has said, ""*STAMP WORLD LIFE CYCLE* is the biological wheel of 'life and death' on Stamp World. Having a degree in zoology I was most fascinated and honored to be the one chosen by the Stamps to bring this knowledge to Earth.""",TRUE,FALSE
,"Stamp World Plat","print","second floor, near room 246","Quote from Oregon Arts Commission on the piece: ""This pastel compostion appears to be the conglomeration of stamp parts, linear mapping, and numbering.""","Public",,,,"On this piece, Chew has said, ""*STAMP WORLD PLAT* is your basic real estate sales map for the Hand Dog Valley on Stamp World. The parcels are quite inexpensive, going for about 5 cents a prinazo (2.3 acres). They require that one purchase at least 500,000 prinazos at minimum. As far as the artist can tell this would be a great place for polluting industries to relocate as they have no environmental laws, and the Stamps are pretty easy to push around.""",TRUE,FALSE
,"Poised/Motion Study","Bronze, Lightjet Duraclear print with UV laminated on clear acrylic, steel and painted vinyl letters, canvas","above main entrance","From plaque that accompanies the piece: ""This multi-piece sculpture is layered with images and ideas that refer to the body, to movement, and intellectual exploration.""","Public",2005,,,"On this piece, Chew and Metz have said, “The artwork refers to the physical experience of sport; it evokes the body directly and implies movement. It is layered with images and ideas that refer to the body, to movement, to intellectual exploration, to our exploration of the world through mind and body...These components suggest a leap you make, the transformation that comes as you cross the edge between stillness and motion, between groundedness and daring.”",TRUE,FALSE
94,"Storm Dairy Farm","oil paint & pastel","fifth floor, west side across from first set of lockers",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
